id,k,z,stop_loss_pct,net_profit,final_equity,cagr_pct,max_dd_pct,sortino,total_trades,active_combos,skipped_trades,stop_loss_hits
k4_0_z0_25_stop50,4.0,0.25,50.0,22805.58,32805.58,12.62,9.95,3.17,6535,79,2176,10
k4_0_z0_30_stop50,4.0,0.3,50.0,23566.01,33566.01,12.87,8.31,3.02,5322,68,1726,10
k4_0_z0_35_stop50,4.0,0.35,50.0,24555.66,34555.66,13.2,7.7,2.89,4859,62,1600,10
k4_0_z0_40_stop50,4.0,0.4,50.0,26642.23,36642.23,13.87,7.44,3.14,4204,56,1407,10
k4_5_z0_10_stop50,4.5,0.1,50.0,19783.87,29783.87,11.53,11.7,3.17,10125,118,3407,10
k4_5_z0_15_stop50,4.5,0.15,50.0,21327.76,31327.76,12.1,10.53,3.24,7686,99,3253,10
k4_5_z0_20_stop50,4.5,0.2,50.0,22399.6,32399.6,12.48,11.17,3.22,6666,88,3045,10
k4_5_z0_25_stop50,4.5,0.25,50.0,23304.65,33304.65,12.79,11.12,3.18,6057,79,2654,10
k4_5_z0_30_stop50,4.5,0.3,50.0,25831.89,35831.89,13.61,8.93,3.11,4845,68,2203,10
k4_5_z0_35_stop50,4.5,0.35,50.0,26016.06,36016.06,13.67,9.67,2.94,4482,62,1977,10
k4_5_z0_40_stop50,4.5,0.4,50.0,27762.41,37762.41,14.21,9.25,3.05,3867,56,1744,10
k5_0_z0_10_stop50,5.0,0.1,50.0,20574.01,30574.01,11.83,12.72,3.11,9413,118,4119,10
k5_0_z0_15_stop50,5.0,0.15,50.0,22686.14,32686.14,12.58,10.61,3.29,7119,99,3820,10
k5_0_z0_20_stop50,5.0,0.2,50.0,23688.97,33688.97,12.92,10.98,3.18,6256,88,3455,10
k5_0_z0_25_stop50,5.0,0.25,50.0,23771.56,33771.56,12.94,10.31,2.98,5357,79,3354,10
k5_0_z0_30_stop50,5.0,0.3,50.0,26736.1,36736.1,13.9,8.9,2.97,4591,68,2457,10
k5_0_z0_35_stop50,5.0,0.35,50.0,28083.63,38083.63,14.31,9.85,2.91,4179,62,2280,10
k5_0_z0_40_stop50,5.0,0.4,50.0,28354.51,38354.51,14.39,9.96,2.88,3601,56,2010,10
k1_0_z0_10_stop60,1.0,0.1,60.0,11105.93,21105.93,7.76,5.89,2.14,13258,115,20,2
k1_0_z0_15_stop60,1.0,0.15,60.0,11735.97,21735.97,8.07,5.77,2.29,10839,97,22,2
k1_0_z0_20_stop60,1.0,0.2,60.0,12128.22,22128.22,8.27,5.81,2.37,9608,86,25,2
k1_0_z0_25_stop60,1.0,0.25,60.0,12547.57,22547.57,8.47,5.5,2.47,8610,77,23,2
k1_0_z0_30_stop60,1.0,0.3,60.0,13089.83,23089.83,8.73,5.21,2.56,6941,66,29,2
k1_0_z0_35_stop60,1.0,0.35,60.0,13611.13,23611.13,8.97,5.02,2.67,6352,60,29,2
k1_0_z0_40_stop60,1.0,0.4,60.0,13806.91,23806.91,9.06,4.62,2.72,5542,55,31,2
k1_5_z0_10_stop60,1.5,0.1,60.0,12099.77,22099.77,8.25,5.47,2.57,13255,115,23,2
k1_5_z0_15_stop60,1.5,0.15,60.0,12942.13,22942.13,8.66,5.19,3.0,10834,97,27,2
k1_5_z0_20_stop60,1.5,0.2,60.0,13846.69,23846.69,9.08,5.1,3.18,9607,86,26,2
k1_5_z0_25_stop60,1.5,0.25,60.0,15034.31,25034.31,9.61,4.83,3.21,8608,77,25,2
k1_5_z0_30_stop60,1.5,0.3,60.0,16045.62,26045.62,10.05,4.74,3.38,6946,66,24,2
k1_5_z0_35_stop60,1.5,0.35,60.0,16164.02,26164.02,10.1,4.51,3.4,6354,60,27,2
k1_5_z0_40_stop60,1.5,0.4,60.0,16315.51,26315.51,10.16,4.06,3.41,5542,55,31,2
k2_0_z0_10_stop60,2.0,0.1,60.0,14105.67,24105.67,9.2,7.02,3.1,13232,115,46,2
k2_0_z0_15_stop60,2.0,0.15,60.0,15458.36,25458.36,9.8,6.1,3.34,10798,97,63,2
k2_0_z0_20_stop60,2.0,0.2,60.0,16414.32,26414.32,10.2,5.81,3.49,9552,86,81,2
k2_0_z0_25_stop60,2.0,0.25,60.0,17163.56,27163.56,10.51,5.39,3.6,8560,77,73,2
k2_0_z0_30_stop60,2.0,0.3,60.0,18307.39,28307.39,10.97,5.43,3.85,6912,66,58,2
k2_0_z0_35_stop60,2.0,0.35,60.0,19113.82,29113.82,11.28,5.57,3.93,6331,60,50,2
k2_0_z0_40_stop60,2.0,0.4,60.0,19829.98,29829.98,11.55,4.84,3.94,5526,55,47,2
k2_5_z0_10_stop60,2.5,0.1,60.0,15390.38,25390.38,9.77,8.57,3.29,12925,115,353,2
k2_5_z0_15_stop60,2.5,0.15,60.0,16792.37,26792.37,10.36,7.92,3.48,10420,97,441,2
k2_5_z0_20_stop60,2.5,0.2,60.0,17903.65,27903.65,10.81,7.79,3.65,9144,86,489,2
k2_5_z0_25_stop60,2.5,0.25,60.0,18842.59,28842.59,11.18,7.52,3.73,8172,77,461,2
k2_5_z0_30_stop60,2.5,0.3,60.0,20288.67,30288.67,11.72,6.54,3.81,6625,66,345,2
k2_5_z0_35_stop60,2.5,0.35,60.0,21013.05,31013.05,11.99,7.05,3.79,6061,60,320,2
k2_5_z0_40_stop60,2.5,0.4,60.0,21856.87,31856.87,12.29,6.85,3.83,5283,55,290,2
k3_0_z0_10_stop60,3.0,0.1,60.0,16620.01,26620.01,10.29,9.9,3.41,12271,115,1007,2
k3_0_z0_15_stop60,3.0,0.15,60.0,18072.19,28072.19,10.88,9.13,3.51,9777,97,1084,2
k3_0_z0_20_stop60,3.0,0.2,60.0,19222.82,29222.82,11.32,8.94,3.57,8529,86,1104,2
k3_0_z0_25_stop60,3.0,0.25,60.0,20438.82,30438.82,11.78,8.35,3.64,7689,77,944,2
